1 40000     42.27 1391.57      0 1390.56 0      0 0  0 1390.56  0 0       0 0  0 1390.56  0 0 
1 40000     42.99 1404.1      0 1403.03 0      0 0  0 1403.03  0 0       0 0  0 1403.03  0 0 
