13.1	311
13.4	34
13.9	281
14.2	296
14.7	203
14.9	57
15	313
15.8	72
15.8	288
16.1	145
16.3	116
16.6	53
16.7	58
17.3	175
18.2	263
18.7	31
19.4	230
19.7	271
19.9	253
19.9	306
20.2	1293
20.4	7940
20.5	190
20.5	240
20.6	7052
20.6	11379
20.8	136
21	97
21	7382
21.1	8158
21.2	6013
21.2	8248
21.3	89
21.3	2055
21.4	74
21.4	4197
21.4	6071
21.4	13567
21.5	7528
21.5	7623
21.5	8817
21.5	10590
21.6	100
21.6	3065
21.7	19
21.7	593
21.8	3872
21.8	13582
21.8	14344
21.9	5268
22	741
22	2255
22	2467
22	6738
22.1	463
22.1	12370
22.2	314
22.2	475
22.2	3613
22.2	4478
22.2	5899
22.2	14033
22.2	14601
22.2	15046
22.3	84
22.3	1583
22.3	13120
22.4	76
22.5	131
22.5	1999
22.5	7204
22.5	8540
22.5	10535
22.6	4641
22.6	6488
22.6	7056
22.6	8938
22.6	9343
22.6	11880
22.6	13613
22.6	13841
22.6	14540
22.6	15320
22.7	68
22.7	239
22.7	2903
22.7	4138
22.7	4952
22.7	6029
22.7	14432
22.8	143
22.8	2712
22.8	4027
22.8	4229
22.8	5719
22.8	6779
22.8	8025
22.8	10296
22.8	10637
22.8	11130
22.8	11829
22.8	12321
22.8	12697
22.8	13786
22.9	75
22.9	227
22.9	2743
22.9	3836
22.9	11225
22.9	13248
23	1473
23	2450
23	7234
23	8007
23	8479
23	11380
23.1	389
23.1	837
23.1	6781
23.1	11928
23.1	12728
23.1	13812
23.1	14083
23.2	85
23.2	159
23.2	1380
23.2	4225
23.2	6594
23.2	10740
23.2	12456
23.2	12479
23.2	14245
23.3	2364
23.3	3142
23.3	3514
23.3	4922
23.3	6901
23.3	9113
23.3	9388
23.3	9466
23.3	9530
23.3	10722
23.3	15063
23.3	15181
23.3	15290
23.3	15835
23.4	15
23.4	3839
23.4	4513
23.4	5845
23.4	8145
23.4	11827
23.4	12716
23.4	13600
23.4	14117
23.5	1078
23.5	1559
23.5	3373
23.5	7917
23.5	8865
23.5	12759
23.5	13145
23.6	61
23.6	218
23.6	1869
23.6	4684
23.6	6898
23.6	7299
23.6	8629
23.6	9662
23.6	9733
23.6	12932
23.6	13601
23.6	13640
23.6	13676
23.7	105
23.7	1624
23.7	2146
23.7	2745
23.7	3563
23.7	4153
23.7	4815
23.7	7345
23.7	9821
23.7	11138
23.7	13487
23.7	14636
23.7	15270
23.7	15570
23.8	1900
23.8	2593
23.8	3753
23.8	5514
23.8	5741
23.8	6615
23.8	7366
23.8	9825
23.8	10695
23.8	13320
23.8	13654
23.8	14326
23.8	14370
23.8	14729
23.9	2121
23.9	2769
23.9	2816
23.9	4054
23.9	4201
23.9	5292
23.9	6094
23.9	7442
23.9	8214
23.9	8966
23.9	8972
23.9	10697
23.9	10892
23.9	13092
23.9	14550
23.9	14612
23.9	15390
23.9	15549
23.9	15756
24	460
24	931
24	1543
24	3974
24	4341
24	5387
24	6875
24	11691
24	13440
24	14412
24	14768
24	15165
24.1	1021
24.1	3172
24.1	3588
24.1	3727
24.1	5054
24.1	5517
24.1	5620
24.1	6465
24.1	15008
24.2	231
24.2	570
24.2	657
24.2	1998
24.2	2538
24.2	4230
24.2	4724
24.2	5862
24.2	6270
24.2	6355
24.2	8647
24.2	9000
24.2	10808
24.2	11044
24.2	12874
24.2	13312
24.2	13381
24.2	13413
24.2	14615
24.3	648
24.3	1042
24.3	1393
24.3	1399
24.3	1524
24.3	1539
24.3	2165
24.3	2649
24.3	2736
24.3	3251
24.3	3291
24.3	3787
24.3	3896
24.3	4128
24.3	4149
24.3	4260
24.3	4817
24.3	4897
24.3	5376
24.3	5732
24.3	6000
24.3	6243
24.3	6664
24.3	6964
24.3	7058
24.3	7879
24.3	8196
24.3	8929
24.3	9112
24.3	9137
24.3	9713
24.3	9988
24.3	10217
24.3	10399
24.3	11898
24.3	11902
24.3	12276
24.3	13115
24.3	13684
24.4	195
24.4	2726
24.4	2740
24.4	2977
24.4	4462
24.4	4542
24.4	5111
24.4	5702
24.4	6578
24.4	8216
24.4	9194
24.4	10480
24.4	10518
24.4	11524
24.4	11826
24.4	12338
24.4	12460
24.4	13241
24.4	13289
24.4	13580
24.4	14170
24.4	15211
24.5	434
24.5	540
24.5	669
24.5	1926
24.5	4018
24.5	4458
24.5	4487
24.5	4783
24.5	5256
24.5	5412
24.5	5925
24.5	6121
24.5	7117
24.5	7285
24.5	10737
24.5	11470
24.5	12468
24.5	12613
24.5	13533
24.5	14625
24.5	15415
24.6	124
24.6	1064
24.6	2258
24.6	3726
24.6	4135
24.6	4526
24.6	5390
24.6	7621
24.6	7748
24.6	9111
24.6	10104
24.6	11093
24.6	13385
24.6	13609
24.6	14088
24.6	14637
24.6	15145
24.7	17
24.7	744
24.7	1618
24.7	1644
24.7	2089
24.7	2641
24.7	2651
24.7	3024
24.7	3930
24.7	7978
24.7	8970
24.7	9476
24.7	9537
24.7	9981
24.7	10750
24.7	11097
24.7	11193
24.7	11562
24.7	11696
24.7	12407
24.7	12504
24.7	13903
24.7	14282
24.7	14771
24.7	15357
24.7	15413
24.8	1029
24.8	1280
24.8	1306
24.8	1387
24.8	1856
24.8	1985
24.8	4687
24.8	5838
24.8	6104
24.8	6809
24.8	7493
24.8	7826
24.8	9430
24.8	9532
24.8	9991
24.8	10023
24.8	11027
24.8	11045
24.8	12160
24.8	12253
24.8	13105
24.8	13420
24.8	13714
24.8	14577
24.8	14633
24.8	15173
24.8	15521
24.8	15769
24.9	83
24.9	109
24.9	1737
24.9	1822
24.9	2417
24.9	3558
24.9	3591
24.9	3662
24.9	3679
24.9	4196
24.9	4361
24.9	5004
24.9	5908
24.9	7686
24.9	7919
24.9	8262
24.9	9244
24.9	10007
24.9	12229
24.9	12699
24.9	12999
24.9	14192
24.9	14280
24.9	15929
25	390
25	574
25	900
25	1921
25	2523
25	2652
25	2670
25	2901
25	2990
25	2993
25	3117
25	3132
25	3709
25	4098
25	5147
25	5259
25	5464
25	5904
25	6813
25	7388
25	8093
25	8281
25	9857
25	10274
25	10345
25	11290
25	11881
25	12642
25	13431
25	13646
25	14005
25	14352
25	14719
25	15019
25.1	106
25.1	304
25.1	436
25.1	937
25.1	954
25.1	1118
25.1	1157
25.1	2272
25.1	2302
25.1	2834
25.1	4646
25.1	5434
25.1	5685
25.1	6279
25.1	6903
25.1	7419
25.1	7724
25.1	8256
25.1	8364
25.1	8522
25.1	8732
25.1	10050
25.1	10076
25.1	11158
25.1	11337
25.1	13546
25.1	13916
25.1	14293
25.1	14399
25.1	14634
25.1	14657
25.1	14962
25.1	15722
25.2	47
25.2	361
25.2	430
25.2	1019
25.2	2071
25.2	2466
25.2	2595
25.2	2709
25.2	2751
25.2	3309
25.2	3817
25.2	3845
25.2	4371
25.2	4452
25.2	4593
25.2	4873
25.2	4935
25.2	5529
25.2	5794
25.2	6012
25.2	6384
25.2	6965
25.2	8238
25.2	8607
25.2	8659
25.2	9521
25.2	9663
25.2	9953
25.2	10095
25.2	10495
25.2	10581
25.2	10743
25.2	11053
25.2	11786
25.2	11877
25.2	12051
25.2	12603
25.2	13677
25.2	13682
25.2	13917
25.2	14696
25.2	14895
25.2	15193
25.2	15571
25.2	15579
25.2	15658
25.3	180
25.3	736
25.3	1125
25.3	1211
25.3	1398
25.3	1738
25.3	2339
25.3	2428
25.3	2870
25.3	2890
25.3	3255
25.3	3517
25.3	3617
25.3	4143
25.3	4228
25.3	4257
25.3	6258
25.3	7211
25.3	7477
25.3	7664
25.3	8140
25.3	8159
25.3	8275
25.3	8372
25.3	8420
25.3	8888
25.3	10051
25.3	10068
25.3	10279
25.3	10423
25.3	10513
25.3	10538
25.3	10792
25.3	10882
25.3	11062
25.3	11513
25.3	12217
25.3	12449
25.3	12560
25.3	12769
25.3	13669
25.3	14219
25.3	14237
25.3	14251
25.3	14993
25.3	15318
25.4	196
25.4	216
25.4	595
25.4	789
25.4	1510
25.4	2934
25.4	3066
25.4	5763
25.4	6021
25.4	7657
25.4	7797
25.4	7898
25.4	7992
25.4	8057
25.4	8186
25.4	8272
25.4	8553
25.4	9136
25.4	9261
25.4	9554
25.4	9909
25.4	10391
25.4	11961
25.4	12227
25.4	12619
25.4	12859
25.4	13140
25.4	13155
25.4	13197
25.4	13412
25.4	13458
25.4	13863
25.4	14091
25.4	14689
25.4	14886
25.4	15858
25.5	55
25.5	246
25.5	290
25.5	847
25.5	1073
