16.7	34
18.3	380
19.3	311
19.5	72
19.9	203
20.2	330
20.2	458
20.4	281
20.9	296
20.9	397
21.1	429
21.8	417
22	57
22.1	441
22.3	313
23	31
23.1	354
23.4	58
23.7	288
24.1	230
24.2	145
24.5	116
25	218
25.1	53
26.1	476
26.6	136
26.7	453
27.4	175
27.6	263
27.9	12015
27.9	15099
28.3	75
28.6	19818
28.7	21381
28.8	10169
29	21530
29.4	18667
29.5	143
29.7	5549
29.9	158
30	18791
30	21973
30.1	6762
30.3	882
30.3	11335
30.3	13206
30.5	1601
30.5	6862
30.5	11881
30.6	5630
30.6	22350
30.7	19130
30.9	16196
30.9	18984
30.9	23885
31	4593
31.2	4867
31.2	17051
31.2	20677
31.3	832
31.3	14056
31.3	19136
31.4	206
31.4	17831
31.4	22306
31.5	9685
31.5	9981
31.5	12754
31.5	13488
31.5	15871
31.5	16605
31.5	17098
31.5	18091
31.6	163
31.6	350
31.6	9000
31.6	12426
31.6	17350
31.7	17
31.7	21338
31.7	21974
31.7	22435
31.8	2021
31.8	2389
31.8	13981
31.8	18282
31.9	76
31.9	187
31.9	3603
31.9	5283
31.9	9570
31.9	18009
31.9	20432
32	271
32	1196
32	1404
32	5112
32	17683
32	22929
32	22966
32.1	11272
32.1	13956
32.1	14969
32.1	17918
32.2	39
32.2	7363
32.2	21603
32.2	21840
32.3	2910
32.3	12596
32.3	13329
32.3	13677
32.3	21197
32.3	21857
32.4	363
32.4	895
32.4	19968
32.5	11654
32.5	12640
32.5	13274
32.5	17619
32.5	22949
32.6	1654
32.6	6992
32.6	16040
32.6	16690
32.7	180
32.7	306
32.7	2783
32.7	9936
32.7	21382
32.8	7836
32.8	10976
32.8	13807
32.8	17367
32.8	18561
32.9	586
32.9	9212
32.9	19083
33	8708
33	9631
33	12764
33	17607
33.1	231
33.1	346
33.1	1075
33.1	4517
33.1	6238
33.1	9619
33.1	11288
33.1	13929
33.1	14156
33.1	19000
33.1	20871
33.2	321
33.2	1894
33.2	3370
33.2	8528
33.2	10983
33.2	12197
33.2	14595
33.2	16397
33.2	17923
33.2	18893
33.2	19078
33.2	19647
33.2	22216
33.2	23321
33.3	4048
33.3	5995
33.3	6104
33.3	6124
33.3	12795
33.3	12831
33.3	19054
33.4	19
33.4	97
33.4	540
33.4	1096
33.4	2629
33.4	2918
33.4	5183
33.4	10177
33.4	14197
33.4	18643
33.4	20216
33.5	450
33.5	7103
33.5	15325
33.5	21242
33.6	239
33.6	3981
33.6	5441
33.6	14572
33.6	16445
33.6	16896
33.6	21753
33.7	1184
33.7	3561
33.7	8867
33.7	16454
33.7	18582
33.7	22539
33.8	155
33.8	3153
33.8	3490
33.8	4458
33.8	6021
33.8	6069
33.8	7594
33.8	9344
33.8	12887
33.8	12973
33.8	14042
33.8	14596
33.8	16060
33.8	17783
33.8	19150
33.8	21713
33.9	449
33.9	736
33.9	4305
33.9	4447
33.9	12148
33.9	14319
33.9	18911
33.9	23772
33.9	23950
34	1290
34	2840
34	7802
34	8364
34	10999
34	19601
34	20825
34	22036
34	23733
34.1	3702
34.1	5484
34.1	7971
34.1	9814
34.1	13614
34.1	14251
34.1	15077
34.1	17754
34.1	19443
34.1	20436
34.1	22573
34.1	23290
34.2	174
34.2	583
34.2	2268
34.2	16135
34.2	16332
34.2	16504
34.2	16965
34.2	20815
34.2	23239
34.3	1757
34.3	3416
34.3	7953
34.3	11198
34.3	14645
34.3	15236
34.3	16411
34.3	22258
34.4	69
34.4	644
34.4	6596
34.4	7355
34.4	7654
34.4	8887
34.4	12890
34.4	14171
34.4	14905
34.4	20559
34.5	2808
34.5	11185
34.5	19838
34.5	20570
34.5	23157
34.6	495
34.6	1948
34.6	3961
34.6	5969
34.6	7041
34.6	9733
34.6	14365
34.6	15855
34.6	17604
34.6	19145
34.6	19389
34.6	20286
34.6	23841
34.7	48
34.7	1234
34.7	3092
34.7	3254
34.7	4625
34.7	15130
34.7	20769
34.7	20801
34.8	255
34.8	2606
34.8	4247
34.8	6694
34.8	10600
34.8	11368
34.8	12491
34.8	14743
34.8	18044
34.8	18637
34.8	19187
34.8	22461
34.9	405
34.9	9315
34.9	9699
34.9	15924
34.9	15979
34.9	16677
34.9	17535
34.9	19193
34.9	20789
34.9	21789
35	3238
35	3395
35	4125
35	7335
35	7345
35	8704
35	9828
35	11097
35	13648
35	22433
35	23149
35	23555
35.1	3453
35.1	4143
35.1	5687
35.1	8036
35.1	10448
35.1	12926
35.1	15327
35.1	18155
35.1	23630
35.2	877
35.2	2400
35.2	5730
35.2	6385
35.2	7582
35.2	7734
35.2	9486
35.2	9493
35.2	12895
35.2	13609
35.2	15605
35.2	16789
35.2	17723
35.2	19559
35.2	21477
35.2	23247
35.2	23535
35.3	9724
35.3	9955
35.3	10038
35.3	12647
35.3	14011
35.3	14783
35.3	15917
35.3	15969
35.3	17425
35.3	19355
35.3	19769
35.3	22783
35.4	412
35.4	5853
35.4	6038
35.4	7636
35.4	8262
35.4	8492
35.4	8645
35.4	9921
35.4	11373
35.4	13525
35.4	15267
35.4	16223
35.4	17593
35.4	17669
35.4	19286
35.4	19317
35.4	19439
35.4	23559
35.5	657
35.5	804
35.5	2157
35.5	4406
35.5	4550
35.5	4684
35.5	8590
35.5	11244
35.5	11592
35.5	12138
35.5	13316
35.5	13725
35.5	14846
35.5	15019
35.5	18337
35.5	19392
35.5	22917
35.6	448
35.6	958
35.6	1003
35.6	1670
35.6	1744
35.6	2856
35.6	3766
35.6	4200
35.6	4235
35.6	4504
35.6	5257
35.6	5900
35.6	6982
35.6	8759
35.6	9113
35.6	10244
35.6	10920
35.6	10990
35.6	11601
35.6	12417
35.6	14658
35.6	15472
35.6	16240
35.6	17385
35.6	17942
35.6	18230
35.6	18770
35.6	18883
35.6	19227
35.6	20691
35.6	23197
35.7	167
35.7	811
35.7	1930
35.7	2413
35.7	2593
35.7	2870
35.7	6089
35.7	11242
35.7	11986
35.7	13777
35.7	15197
35.7	17626
35.7	18010
35.7	21277
35.7	21303
35.7	22198
35.7	23256
35.7	23283
35.7	23298
35.8	152
35.8	227
35.8	259
35.8	2048
35.8	3488
35.8	3830
35.8	4209
35.8	4646
35.8	7858
35.8	8105
35.8	9771
35.8	11682
35.8	12552
35.8	13904
35.8	15157
35.8	15286
35.8	16335
35.8	16999
35.8	17358
35.8	18625
35.8	18754
35.8	19405
35.8	21084
35.8	21538
35.8	21664
35.8	22729
35.9	1064
35.9	1648
35.9	2816
35.9	3401
35.9	3839
35.9	3858
35.9	4213
35.9	5527
35.9	7471
35.9	7667
35.9	7721
35.9	8633
35.9	9454
35.9	9992
35.9	9999
35.9	10096
35.9	12469
35.9	14029
35.9	14190
35.9	14768
35.9	17042
35.9	20236
35.9	20444
35.9	20993
35.9	21924
35.9	22902
36	488
36	952
36	1087
36	1770
36	2061
36	2153
36	2890
36	4065
36	4702
36	5273
36	5286
36	6427
36	6642
36	6879
36	7162
36	7420
36	7492
36	7592
36	9103
36	9229
36	10496
36	11555
36	12293
36	13102
36	13150
36	13201
36	13618
36	14097
36	15188
36	15686
36	15693
36	17894
36	18295
36	18390
36	18600
36	18907
36	20003
36	20702
36	20925
36.1	430
36.1	596
36.1	614
36.1	2243
36.1	4902
36.1	5134
36.1	5343
36.1	6683
36.1	6966
36.1	7621
36.1	8034
36.1	9421
36.1	9468
36.1	9953
36.1	10003
36.1	10125
36.1	10556
36.1	10758
36.1	11147
36.1	11196
36.1	11556
36.1	12078
36.1	12557
36.1	12603
36.1	13412
36.1	13781
36.1	14052
36.1	14063
36.1	15967
36.1	16078
36.1	16192
36.1	17591
36.1	17804
36.1	21167
36.1	21177
36.1	22488
36.1	22778
36.1	23377
36.1	23426
36.1	23597
36.2	223
36.2	409
36.2	446
36.2	470
36.2	653
36.2	731
36.2	971
36.2	1369
36.2	1413
36.2	2178
36.2	2223
36.2	2467
36.2	2832
36.2	3202
36.2	3511
36.2	4606
36.2	6755
36.2	6847
36.2	7677
36.2	8404
36.2	8475
36.2	9040
36.2	9230
36.2	10743
36.2	11238
36.2	11328
36.2	11522
36.2	11582
36.2	12550
36.2	15446
36.2	17581
36.2	18113
36.2	18328
36.2	20065
36.2	20139
36.2	20276
36.2	20466
36.2	20671
