1 4000     0.41 75.3      0 75.288 0      0 0  0 75.288  0 0       0 0  0 75.288  0 0 
1 4000     0.4 75.68      0 75.6679 0      0 0  0 75.6679  0 0       0 0  0 75.6679  0 0 
1 4000     0.41 78.24      0 78.224 0      0 0  0 78.224  0 0       0 0  0 78.224  0 0 
1 4000     0.4 82.54      0 82.5217 0      0 0  0 82.5217  0 0       0 0  0 82.5217  0 0 
1 4000     0.42 82.44      0 82.4215 0      0 0  0 82.4215  0 0       0 0  0 82.4215  0 0 
